t=2026-03-04T22:50:48+0000 lvl=info msg="no configuration paths supplied"
t=2026-03-04T22:50:48+0000 lvl=info msg="using configuration at default config path" path="/Users/joe/Library/Application Support/ngrok/ngrok.yml"
t=2026-03-04T22:50:48+0000 lvl=info msg="open config file" path="/Users/joe/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2026-03-04T22:56:14+0000 lvl=info msg="join connections" obj=join id=dcaff7ed5be9 l=127.0.0.1:3000 r=[2a00:23cc:e515:8001:f934:cd06:3012:bd0d]:56996
t=2026-03-04T22:56:14+0000 lvl=info msg="join connections" obj=join id=d8ed9ca106fb l=127.0.0.1:3000 r=[2a00:23cc:e515:8001:f934:cd06:3012:bd0d]:56996
t=2026-03-04T22:57:00+0000 lvl=info msg="join connections" obj=join id=7068bd7d29c2 l=127.0.0.1:3000 r=[2a00:23cc:e515:8001:f934:cd06:3012:bd0d]:56996
t=2026-03-04T22:57:14+0000 lvl=info msg="join connections" obj=join id=aa0663276ddd l=127.0.0.1:3000 r=[2a00:23cc:e515:8001:f934:cd06:3012:bd0d]:56996
t=2026-03-04T22:57:14+0000 lvl=info msg="join connections" obj=join id=c51020ff4cd0 l=127.0.0.1:3000 r=[2a00:23cc:e515:8001:f934:cd06:3012:bd0d]:56996
t=2026-03-04T22:57:14+0000 lvl=info msg="join connections" obj=join id=8a072c2f2339 l=127.0.0.1:3000 r=[2a00:23cc:e515:8001:f934:cd06:3012:bd0d]:56996
t=2026-03-04T22:57:14+0000 lvl=info msg="join connections" obj=join id=65adbfb2ee98 l=127.0.0.1:3000 r=[2a00:23cc:e515:8001:f934:cd06:3012:bd0d]:56996
t=2026-03-04T22:57:14+0000 lvl=info msg="join connections" obj=join id=e0ed159c8522 l=127.0.0.1:3000 r=[2a00:23cc:e515:8001:f934:cd06:3012:bd0d]:56996
t=2026-03-04T22:57:14+0000 lvl=info msg="join connections" obj=join id=08c87ffa3feb l=127.0.0.1:3000 r=[2a00:23cc:e515:8001:f934:cd06:3012:bd0d]:56996
t=2026-03-04T22:57:14+0000 lvl=info msg="join connections" obj=join id=9710f3fe6231 l=127.0.0.1:3000 r=[2a00:23cc:e515:8001:f934:cd06:3012:bd0d]:56996
t=2026-03-04T22:58:01+0000 lvl=info msg="join connections" obj=join id=5fdbacea0e9f l=127.0.0.1:3000 r=[2a00:23cc:e515:8001:f934:cd06:3012:bd0d]:56996
t=2026-03-04T22:58:14+0000 lvl=info msg="join connections" obj=join id=b8f95ac743d3 l=127.0.0.1:3000 r=[2a00:23cc:e515:8001:f934:cd06:3012:bd0d]:56996
t=2026-03-04T22:58:14+0000 lvl=info msg="join connections" obj=join id=25efc078b95a l=127.0.0.1:3000 r=[2a00:23cc:e515:8001:f934:cd06:3012:bd0d]:56996
t=2026-03-04T22:58:14+0000 lvl=info msg="join connections" obj=join id=07c1f49839ac l=127.0.0.1:3000 r=[2a00:23cc:e515:8001:f934:cd06:3012:bd0d]:56996
t=2026-03-04T22:58:14+0000 lvl=info msg="join connections" obj=join id=f5a419fa7d48 l=127.0.0.1:3000 r=[2a00:23cc:e515:8001:f934:cd06:3012:bd0d]:56996
t=2026-03-04T22:58:14+0000 lvl=info msg="join connections" obj=join id=9b169a13341b l=127.0.0.1:3000 r=[2a00:23cc:e515:8001:f934:cd06:3012:bd0d]:56996
t=2026-03-04T22:58:14+0000 lvl=info msg="join connections" obj=join id=02476b7265ee l=127.0.0.1:3000 r=[2a00:23cc:e515:8001:f934:cd06:3012:bd0d]:56996
t=2026-03-04T22:58:14+0000 lvl=info msg="join connections" obj=join id=3e92cdb0dbb6 l=127.0.0.1:3000 r=[2a00:23cc:e515:8001:f934:cd06:3012:bd0d]:56996
t=2026-03-04T22:58:46+0000 lvl=info msg="join connections" obj=join id=cc090fd71c2a l=127.0.0.1:3000 r=[2a00:23cc:e515:8001:f934:cd06:3012:bd0d]:56996
t=2026-03-04T22:58:58+0000 lvl=info msg="join connections" obj=join id=6bdb3d1c0d0f l=127.0.0.1:3000 r=[2a00:23cc:e515:8001:f934:cd06:3012:bd0d]:56996
t=2026-03-04T22:59:14+0000 lvl=info msg="join connections" obj=join id=6e2bd65ebe4d l=127.0.0.1:3000 r=[2a00:23cc:e515:8001:f934:cd06:3012:bd0d]:56996
t=2026-03-04T22:59:14+0000 lvl=info msg="join connections" obj=join id=36fda322c2fa l=127.0.0.1:3000 r=[2a00:23cc:e515:8001:f934:cd06:3012:bd0d]:56996
t=2026-03-04T22:59:14+0000 lvl=info msg="join connections" obj=join id=4c34589e11f0 l=127.0.0.1:3000 r=[2a00:23cc:e515:8001:f934:cd06:3012:bd0d]:56996
t=2026-03-04T22:59:14+0000 lvl=info msg="join connections" obj=join id=1f82f57ea9b9 l=127.0.0.1:3000 r=[2a00:23cc:e515:8001:f934:cd06:3012:bd0d]:56996
